Feedback,Sentiment,Category,Priority
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",Negative,Course Content,Low
content of courses improves my knowledge,Positive,Course Content,Low
Yes,Positive,Course Content,Low
Good,Positive,Course Content,Low
This semester university has provide best teachers ,Positive,Course Content,Low
Needs some improvement,Negative,Course Content,Low
Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,Neutral,Course Content,Low
"Knowledge,depth of course is good but course material are not upto the mark",Neutral,Course Content,Low
course content is knowledgeable ,Positive,Course Content,Low
Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,Negative,Course Content,Medium
Very good,Positive,Course Content,Low
Material of the course is not good enough ,Negative,Course Content,Low
sometimes proper course material is not required.,Negative,Course Content,Low
Easily available course material with sufficient knowledge gaining,Positive,Course Content,Low
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",Positive,Course Content,Low
The course notes are very knowledgeable and proper.,Positive,Course Content,Low
content of the courses are update and mostly based on current technology.,Positive,Course Content,Low
Teachers are not giving depth of course . They trying to cover there work only .,Negative,Course Content,Low
good,Positive,Course Content,Low
every thing is fine,Positive,Course Content,Low
It's appreciable,Positive,Course Content,Low
Satisfied,Positive,Course Content,Low
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,Negative,Course Content,Low
Awesome,Positive,Course Content,Low
It is proper,Positive,Course Content,Low
Courses are very good and useful ,Positive,Course Content,Low
Its good,Positive,Course Content,Low
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,Positive,Course Content,Low
content is good enough,Positive,Course Content,Low
Accurate,Positive,Course Content,Low
Perfect,Positive,Course Content,Low
the material provided is beneficial and provides much knowledge,Positive,Course Content,Low
fully knowledgeable,Positive,Course Content,Low
well planned,Positive,Course Content,Low
ok,Positive,Course Content,Low
average,Neutral,Course Content,Low
content is very knowledgable and gives us huge knowledge of every subject,Positive,Course Content,Low
"content is enough, we donot need more.",Positive,Course Content,Low
good quallity content but some teachers donot upload ppts on time,Neutral,Course Content,Low
course content is good,Positive,Course Content,Low
the content of the course is knowledgeable,Positive,Course Content,Low
subjects are appropriate but much depth is required as syllabus includes only basics not the details,Neutral,Course Content,Low
some courses are irrelevant as they are not related to my stream.,Negative,Course Content,Low
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,Negative,Course Content,Low
not too bad,Positive,Course Content,Medium
course material is perfect,Positive,Course Content,Low
not bad,Positive,Course Content,Medium
IP is provided to the students which is very helpful for the students.,Positive,Course Content,Low
depth of course is less on the other hand knowledge and material is good,Neutral,Course Content,Low
content does not provide deep knowledge,Negative,Course Content,Low
sometime it is irrelevent with the ongoing courses.,Negative,Course Content,Low
average(in one term there should be only two major subjects based on numerical),Neutral,Course Content,Low
some of them are very helpful and knowledgeable and some are just formality,Neutral,Course Content,Low
"very knowledgeable, some subjects do not have dedicated material like books available",Neutral,Course Content,Low
optimum content,Positive,Course Content,Low
very good,Positive,Course Content,Low
it is not appropriate,Negative,Course Content,Low
Satisfied knowedgeable and proper course material,Positive,Course Content,Low
"Good, but there should be at least one a practical subject in every semester",Positive,Course Content,Low
 good.,Positive,Course Content,Low
it is not very deep,Negative,Course Content,Low
course contents are very much relevant to our courses,Positive,Course Content,Low
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,Neutral,Course Content,Low
GOOD,Positive,Course Content,Low
content of the course is good ,Positive,Course Content,Low
syllabus is not in debth,Negative,Course Content,Low
Excellent,Positive,Course Content,Low
as per the courses all the sub are providing  worth knowledge,Positive,Course Content,Low
i dont know,Neutral,Course Content,Low
regarding the courses everything is good,Positive,Course Content,Low
coming to the courses these are very well planned... and it all depends on the lectures.,Positive,Course Content,Low
upto the mark,Positive,Course Content,Low
It is so good.,Positive,Course Content,Low
excellent,Positive,Course Content,Low
content of course is ample but depth must be more,Neutral,Course Content,Low
COURSE IS GOOD NO PROPER COURSE MATERIAL,Neutral,Course Content,Low
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,Negative,Course Content,Low
"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",Positive,Course Content,Low
very good and you can also increase the standard of Courses,Positive,Course Content,Low
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,Positive,Course Content,Low
content of course is more than enough to get the basics of that particular subject.,Positive,Course Content,Low
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,Neutral,Course Content,Low
 my rating in this is 4/5,Positive,Course Content,Low
"good,they work very hard for us",Neutral,Course Content,Low
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,Negative,Course Content,Low
when compared to other universities we need better material and exposure.,Negative,Course Content,Low
the content of the course should be increased with the depth.,Negative,Course Content,Low
content provided by you is excellent so that we learnt more and more about that particular subject,Positive,Course Content,Low
content of course is appropriate ,Positive,Course Content,Low
The content of course should be increase with depth,Negative,Course Content,Low
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,Negative,Course Content,Low
some of the faculty are not uploading ppts,Negative,Course Content,Low
it is good learning these courses,Positive,Course Content,Low
its very tough and very diffcult to understand,Negative,Course Content,Low
Nice,Positive,Course Content,Low
yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,Neutral,Course Content,Low
The content of the courses are good but depth of courses are not enough to get the good concepts.,Neutral,Course Content,Low
content is sufficient for us ,Positive,Course Content,Low
"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.",Neutral,Course Content,Low
"I like communication classes,courses are good",Positive,Course Content,Low
they are giving good knowledge for us,Positive,Course Content,Low
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good

",Positive,Course Content,Low
its good,Positive,Course Content,Low
every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,Positive,Course Content,Low
Its nice .,Positive,Course Content,Low
not good ,Negative,Course Content,Low
"The material provided in this university is depth of course, The courses in this university is knowledgeable
",Positive,Course Content,Low
The depth of course is very much  deep. According to me its very essential,Positive,Course Content,Low
Some subjects are good and predictable.Remaining courses are not satisfactory,Neutral,Course Content,Low
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,Neutral,Course Content,Low
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,Positive,Course Content,Low
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",Neutral,Course Content,Low
Pretty Good ,Positive,Course Content,Low
Is good,Positive,Course Content,Low
not good enough.. we want something more.,Negative,Course Content,Low
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,Negative,Course Content,Low
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,Neutral,Course Content,Low
HAVE TO IMPROVE,Negative,Course Content,Low
every one can tell depth of course but some one only give notes,Neutral,Course Content,Low
we are getting maximum knowledge ,Positive,Course Content,Low
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,Positive,Course Content,Low
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,Neutral,Course Content,Low
examination pattern is good,Positive,Examination,Low
Good,Positive,Examination,Low
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",Positive,Examination,Low
Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,Negative,Examination,Low
Yes,Positive,Examination,Low
I like the question pattern,Positive,Examination,Low
"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",Positive,Examination,Low
Great,Positive,Examination,Low
exam pattern is good and good paper checking.,Positive,Examination,Low
Pattern and procedure of the examination is very good. Paper checking needed to be improved.,Neutral,Examination,Low
Excellent ,Positive,Examination,Low
Good marks distribution Students can easily check there performance throught the semester,Positive,Examination,Low
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",Neutral,Examination,Medium
Descent.,Positive,Examination,Low
Excellect,Positive,Examination,Low
exam pattern and marks distribution is very well procedure,Positive,Examination,Low
Average,Neutral,Examination,Low
It is statisfactory.,Positive,Examination,Low
not so good,Negative,Examination,Low
all good,Positive,Examination,Low
"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",Negative,Examination,Low
All are good except paper checking. It should be improved,Neutral,Examination,Low
Overall all these things are the plus point of the university,Positive,Examination,Low
Notbad,Positive,Examination,Medium
It is very gud,Positive,Examination,Low
Examination pattern is good but marks distribution very confusing,Neutral,Examination,Low
"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",Positive,Examination,Low
Everything is fine. ,Positive,Examination,Low
satisfactory ,Positive,Examination,Low
Very good,Positive,Examination,Low
Accurate,Positive,Examination,Low
it is neither too good nor too bad,Neutral,Examination,Medium
good,Positive,Examination,Low
"examination pattern, marks, paper checking is good.",Positive,Examination,Low
"too many examination, we are frustrated",Negative,Examination,Low
too much examinations,Neutral,Examination,Low
average,Neutral,Examination,Low
examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,Positive,Examination,Low
the level of examination should be raised. Questions with reasoning must be included,Negative,Examination,Low
ok,Positive,Examination,Low
fair marking scheme and adaptable pattern,Positive,Examination,Low
pattern of examination is good but paper checking is not at all going in a good way.,Neutral,Examination,Low
there should not be negative marking,Negative,Examination,Low
all things are good,Positive,Examination,Low
not bad,Positive,Examination,Medium
All is good .,Positive,Examination,Low
"I like it , i am satisfied all these work",Positive,Examination,Low
excellent ,Positive,Examination,Low
quite good,Positive,Examination,Low
very poor,Negative,Examination,Medium
exam pattern is good and good paper checking but paper checking can be improved,Positive,Examination,Low
"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",Positive,Examination,Low
all excellent,Positive,Examination,Low
marks distribution is good but paper checking is not that well,Neutral,Examination,Low
satisfied,Positive,Examination,Low
Excellent,Positive,Examination,Low
Very Tough,Negative,Examination,Low
good.,Positive,Examination,Low
it is good,Positive,Examination,Low
bad,Negative,Examination,Medium
Examination pattern is good but mcq paper checking marks are not correct sometimes.,Neutral,Examination,Low
very strict,Negative,Examination,Low
It is a good way in pattern,Positive,Examination,Low
Not good,Negative,Examination,Low
as per the exam pattern maths exam always have to be subjective rather than objective.,Negative,Examination,Low
its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,Negative,Examination,Medium
coming to the examinations it is good,Positive,Examination,Low
In CA's its in the hands of lectures... while in mte's and ete's its good.,Neutral,Examination,Low
i think mid trem should be also subjective ,Neutral,Examination,Low
exam pattern and marks distribution are good,Positive,Examination,Low
very good,Positive,Examination,Low
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,Positive,Examination,Low
GOOD,Positive,Examination,Low
in examinations please try to give question papers,Neutral,Examination,Low
GOOD AND STRICT,Positive,Examination,Low
not much good ,Negative,Examination,Low
exams conducting is very good .but paper correction is very bad,Neutral,Examination,Medium
The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,Neutral,Examination,Low
all these are good,Positive,Examination,Low
the best pattern of examination are in lpu .,Positive,Examination,Low
mid term percentage should be increased so that students get more choice to get success in the examinations,Neutral,Examination,Low
"good
",Positive,Examination,Low
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,Positive,Examination,Low
Everything is pretty well organised,Positive,Examination,Low
good ,Positive,Examination,Low
very good 5/5,Positive,Examination,Low
for some subjects like maths and english(passage writing) the time duration neds to increase,Negative,Examination,Low
"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated ",Neutral,Examination,Low
every thing is fine.,Positive,Examination,Low
Probably the best part of university is its examination and its pattern.,Positive,Examination,Low
"I have never seen this type of examination,,,,,,,very GOOD  pattern",Positive,Examination,Low
"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


",Negative,Examination,Low
It is best,Positive,Examination,Low
"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",Negative,Examination,Low
excellent,Positive,Examination,Low
time not sufficient,Negative,Examination,Low
exam pattern is good ,Positive,Examination,Low
excellent!!!,Positive,Examination,Low
every thing is excllent but paper checking is not good,Neutral,Examination,Low
We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,Negative,Examination,Low
  exam pattern is very nice but paper checking is not at all good .,Neutral,Examination,Low
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,Neutral,Examination,Low
exam  pattern is very good but if you give question papers to students it is helpful ,Neutral,Examination,Low
its better,Positive,Examination,Low
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

",Positive,Examination,Low
yeah its obviously good,Positive,Examination,Low
exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,Positive,Examination,Low
everything was good.,Positive,Examination,Low
everything is good.,Positive,Examination,Low
"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",Neutral,Examination,Low
"Excellent exam pattern, paper checking in this university is easy

",Positive,Examination,Low
I don't like the -ve marking system. appart from that everything is great,Neutral,Examination,Low
"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",Negative,Examination,Low
examination pattern was excellent,Positive,Examination,Low
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",Positive,Examination,Low
very hard papers and main concept papers,Neutral,Examination,Low
Good ,Positive,Examination,Low
 Not so good,Negative,Examination,Low
strict paper correction.,Negative,Examination,Low
super but paper checking is not good,Neutral,Examination,Low
NICE TIMING..,Positive,Examination,Low
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,Neutral,Examination,Low
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD ,Positive,Examination,Low
exam pattern is good and marks distribution is also good but paper checking is too hard,Neutral,Examination,Low
all are good ,Positive,Examination,Low
The examination pattern is good .But time is not sufficient for those questions.,Neutral,Examination,Low
MCQ pattern is quite good and efficient way for evolving students.,Positive,Examination,Low
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,Neutral,Examination,Low
"not satisfactory, lab work must include latest technologies",Negative,Lab Work,Low
Good ,Positive,Lab Work,Low
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,Positive,Lab Work,Low
Good,Positive,Lab Work,Low
practical work provides detail knowledge of theoretical work,Positive,Lab Work,Low
Yes,Positive,Lab Work,Low
Everything is going fine in lab . learning new things. That is good for us,Positive,Lab Work,Low
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,Negative,Lab Work,Low
Not upto the mark,Negative,Lab Work,Low
lab improves practical knowledge,Negative,Lab Work,Low
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,Neutral,Lab Work,Low
Practical work is fair,Positive,Lab Work,Low
Practical and easy learning,Positive,Lab Work,Low
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",Negative,Lab Work,Medium
Good.,Positive,Lab Work,Low
well and good infrastructure and have trending software in lab    ,Positive,Lab Work,Low
Average,Neutral,Lab Work,Low
3 hours practical is so long. It should be of 2 hours only ,Negative,Lab Work,Low
ok ok,Positive,Lab Work,Low
practicle must be of 2 hours,Negative,Lab Work,Low
"It's good 
Also depends on teacher's knowledge and student's interest",Positive,Lab Work,Low
All good,Positive,Lab Work,Low
Average ,Neutral,Lab Work,Low
Too much lanlb file work,Negative,Lab Work,Low
Evaluation method is gud.But the content is more to write in file,Neutral,Lab Work,Low
excellent,Positive,Lab Work,Low
Its good,Positive,Lab Work,Low
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,Neutral,Lab Work,Low
lab duration of 3 hours is very long . ,Negative,Lab Work,Low
It's good,Positive,Lab Work,Low
lab evaluations are pretty good .they help us a lot.,Positive,Lab Work,Low
having good material in labs.,Positive,Lab Work,Low
too much good,Positive,Lab Work,Low
good,Positive,Lab Work,Low
average,Neutral,Lab Work,Low
it is difficult to understand experiment in 1 hour,Negative,Lab Work,Low
lab work is also good,Positive,Lab Work,Low
lab work is quite good,Positive,Lab Work,Low
lab activities are good but not satisfactory in explaining point of view.,Neutral,Lab Work,Low
helps in improving skills,Positive,Lab Work,Low
lab work is nice.,Positive,Lab Work,Low
practical work including evaluations are good so that students can learn about practicals.,Positive,Lab Work,Low
laboratory provides us a good knowledge about practicals.,Positive,Lab Work,Low
practical work insome labs are not upto the marks,Negative,Lab Work,Low
labs are good but experiments are not very informative,Neutral,Lab Work,Low
the labs are not practically built,Negative,Lab Work,Low
practical work is good,Positive,Lab Work,Low
super,Positive,Lab Work,Low
This is the best in our university because there is no other university which takes seriously for practical work.,Positive,Lab Work,High
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",Negative,Lab Work,Low
satisfactory,Positive,Lab Work,Low
very poor.no equipments are there,Negative,Lab Work,Medium
poor,Negative,Lab Work,Medium
lab practicals and evaluations are below average and need lot of changes and improvements,Negative,Lab Work,Low
lab practical work can further be improved so that it can meet industrial standards,Negative,Lab Work,Low
excellent work,Positive,Lab Work,Low
very good,Positive,Lab Work,Low
its hard to find a computer working in lab. Students cannot save data in one single PC,Negative,Lab Work,Low
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",Negative,Lab Work,Low
