Feedback,Sentiment,Category
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,Neutral,Teaching
All terms are good regarding the university activities,Positive,Teaching
intraction is good and leacture delivery also good and then punctuality is also is good,Positive,Teaching
all the given terms are good regarding the university ,Positive,Teaching
All the terms are good regarding the university activities.,Positive,Teaching
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject ,Negative,Teaching
IT IS GOING GOOD,Positive,Teaching
content of courses are average,Neutral,Course Content
Not good,Negative,Course Content
All courses material provide very good knowledge in depth .,Positive,Course Content
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",Negative,Course Content
content of courses improves my knowledge,Positive,Course Content
Yes,Positive,Course Content
Good,Positive,Course Content
This semester university has provide best teachers ,Positive,Course Content
Needs some improvement,Negative,Course Content
Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,Neutral,Course Content
"Knowledge,depth of course is good but course material are not upto the mark",Neutral,Course Content
course content is knowledgeable ,Positive,Course Content
Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,Negative,Course Content
Very good,Positive,Course Content
Material of the course is not good enough ,Negative,Course Content
sometimes proper course material is not required.,Negative,Course Content
Easily available course material with sufficient knowledge gaining,Positive,Course Content
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",Positive,Course Content
The course notes are very knowledgeable and proper.,Positive,Course Content
content of the courses are update and mostly based on current technology.,Positive,Course Content
Teachers are not giving depth of course . They trying to cover there work only .,Negative,Course Content
good,Positive,Course Content
every thing is fine,Positive,Course Content
It's appreciable,Positive,Course Content
Satisfied,Positive,Course Content
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,Negative,Course Content
Awesome,Positive,Course Content
It is proper,Positive,Course Content
Courses are very good and useful ,Positive,Course Content
Its good,Positive,Course Content
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,Positive,Course Content
content is good enough,Positive,Course Content
Accurate,Positive,Course Content
Perfect,Positive,Course Content
the material provided is beneficial and provides much knowledge,Positive,Course Content
fully knowledgeable,Positive,Course Content
well planned,Positive,Course Content
ok,Positive,Course Content
average,Neutral,Course Content
content is very knowledgable and gives us huge knowledge of every subject,Positive,Course Content
"content is enough, we donot need more.",Positive,Course Content
good quallity content but some teachers donot upload ppts on time,Neutral,Course Content
course content is good,Positive,Course Content
the content of the course is knowledgeable,Positive,Course Content
subjects are appropriate but much depth is required as syllabus includes only basics not the details,Neutral,Course Content
some courses are irrelevant as they are not related to my stream.,Negative,Course Content
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,Negative,Course Content
not too bad,Positive,Course Content
course material is perfect,Positive,Course Content
not bad,Positive,Course Content
IP is provided to the students which is very helpful for the students.,Positive,Course Content
depth of course is less on the other hand knowledge and material is good,Neutral,Course Content
content does not provide deep knowledge,Negative,Course Content
sometime it is irrelevent with the ongoing courses.,Negative,Course Content
average(in one term there should be only two major subjects based on numerical),Neutral,Course Content
some of them are very helpful and knowledgeable and some are just formality,Neutral,Course Content
"very knowledgeable, some subjects do not have dedicated material like books available",Neutral,Course Content
optimum content,Positive,Course Content
very good,Positive,Course Content
it is not appropriate,Negative,Course Content
Satisfied knowedgeable and proper course material,Positive,Course Content
"Good, but there should be at least one a practical subject in every semester",Positive,Course Content
 good.,Positive,Course Content
it is not very deep,Negative,Course Content
course contents are very much relevant to our courses,Positive,Course Content
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,Neutral,Course Content
GOOD,Positive,Course Content
content of the course is good ,Positive,Course Content
syllabus is not in debth,Negative,Course Content
Excellent,Positive,Course Content
as per the courses all the sub are providing  worth knowledge,Positive,Course Content
i dont know,Neutral,Course Content
regarding the courses everything is good,Positive,Course Content
coming to the courses these are very well planned... and it all depends on the lectures.,Positive,Course Content
upto the mark,Positive,Course Content
It is so good.,Positive,Course Content
excellent,Positive,Course Content
content of course is ample but depth must be more,Neutral,Course Content
COURSE IS GOOD NO PROPER COURSE MATERIAL,Neutral,Course Content
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,Negative,Course Content
"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",Positive,Course Content
very good and you can also increase the standard of Courses,Positive,Course Content
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,Positive,Course Content
content of course is more than enough to get the basics of that particular subject.,Positive,Course Content
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,Neutral,Course Content
 my rating in this is 4/5,Positive,Course Content
"good,they work very hard for us",Neutral,Course Content
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,Negative,Course Content
when compared to other universities we need better material and exposure.,Negative,Course Content
the content of the course should be increased with the depth.,Negative,Course Content
content provided by you is excellent so that we learnt more and more about that particular subject,Positive,Course Content
content of course is appropriate ,Positive,Course Content
The content of course should be increase with depth,Negative,Course Content
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,Negative,Course Content
some of the faculty are not uploading ppts,Negative,Course Content
it is good learning these courses,Positive,Course Content
its very tough and very diffcult to understand,Negative,Course Content
Nice,Positive,Course Content
yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,Neutral,Course Content
The content of the courses are good but depth of courses are not enough to get the good concepts.,Neutral,Course Content
content is sufficient for us ,Positive,Course Content
"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.",Neutral,Course Content
"I like communication classes,courses are good",Positive,Course Content
they are giving good knowledge for us,Positive,Course Content
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good

",Positive,Course Content
its good,Positive,Course Content
every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,Positive,Course Content
Its nice .,Positive,Course Content
not good ,Negative,Course Content
"The material provided in this university is depth of course, The courses in this university is knowledgeable
",Positive,Course Content
The depth of course is very much  deep. According to me its very essential,Positive,Course Content
Some subjects are good and predictable.Remaining courses are not satisfactory,Neutral,Course Content
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,Neutral,Course Content
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,Positive,Course Content
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",Neutral,Course Content
Pretty Good ,Positive,Course Content
Is good,Positive,Course Content
not good enough.. we want something more.,Negative,Course Content
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,Negative,Course Content
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,Neutral,Course Content
HAVE TO IMPROVE,Negative,Course Content
every one can tell depth of course but some one only give notes,Neutral,Course Content
we are getting maximum knowledge ,Positive,Course Content
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,Positive,Course Content
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,Neutral,Course Content
examination pattern is good,Positive,Examination
Good,Positive,Examination
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",Positive,Examination
Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,Negative,Examination
Yes,Positive,Examination
I like the question pattern,Positive,Examination
"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",Positive,Examination
Great,Positive,Examination
exam pattern is good and good paper checking.,Positive,Examination
Pattern and procedure of the examination is very good. Paper checking needed to be improved.,Neutral,Examination
Excellent ,Positive,Examination
Good marks distribution Students can easily check there performance throught the semester,Positive,Examination
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",Neutral,Examination
Descent.,Positive,Examination
Excellect,Positive,Examination
exam pattern and marks distribution is very well procedure,Positive,Examination
Average,Neutral,Examination
It is statisfactory.,Positive,Examination
not so good,Negative,Examination
all good,Positive,Examination
"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",Negative,Examination
All are good except paper checking. It should be improved,Neutral,Examination
Overall all these things are the plus point of the university,Positive,Examination
Notbad,Positive,Examination
It is very gud,Positive,Examination
Examination pattern is good but marks distribution very confusing,Neutral,Examination
"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",Positive,Examination
Everything is fine. ,Positive,Examination
satisfactory ,Positive,Examination
Very good,Positive,Examination
Accurate,Positive,Examination
it is neither too good nor too bad,Neutral,Examination
good,Positive,Examination
"examination pattern, marks, paper checking is good.",Positive,Examination
"too many examination, we are frustrated",Negative,Examination
too much examinations,Neutral,Examination
average,Neutral,Examination
examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,Positive,Examination
the level of examination should be raised. Questions with reasoning must be included,Negative,Examination
ok,Positive,Examination
fair marking scheme and adaptable pattern,Positive,Examination
pattern of examination is good but paper checking is not at all going in a good way.,Neutral,Examination
there should not be negative marking,Negative,Examination
all things are good,Positive,Examination
not bad,Positive,Examination
All is good .,Positive,Examination
"I like it , i am satisfied all these work",Positive,Examination
excellent ,Positive,Examination
quite good,Positive,Examination
very poor,Negative,Examination
exam pattern is good and good paper checking but paper checking can be improved,Positive,Examination
"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",Positive,Examination
all excellent,Positive,Examination
marks distribution is good but paper checking is not that well,Neutral,Examination
satisfied,Positive,Examination
Excellent,Positive,Examination
Very Tough,Negative,Examination
good.,Positive,Examination
it is good,Positive,Examination
bad,Negative,Examination
Examination pattern is good but mcq paper checking marks are not correct sometimes.,Neutral,Examination
very strict,Negative,Examination
It is a good way in pattern,Positive,Examination
Not good,Negative,Examination
as per the exam pattern maths exam always have to be subjective rather than objective.,Negative,Examination
its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,Negative,Examination
coming to the examinations it is good,Positive,Examination
In CA's its in the hands of lectures... while in mte's and ete's its good.,Neutral,Examination
i think mid trem should be also subjective ,Neutral,Examination
exam pattern and marks distribution are good,Positive,Examination
very good,Positive,Examination
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,Positive,Examination
GOOD,Positive,Examination
in examinations please try to give question papers,Neutral,Examination
GOOD AND STRICT,Positive,Examination
not much good ,Negative,Examination
exams conducting is very good .but paper correction is very bad,Neutral,Examination
The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,Neutral,Examination
all these are good,Positive,Examination
the best pattern of examination are in lpu .,Positive,Examination
mid term percentage should be increased so that students get more choice to get success in the examinations,Neutral,Examination
"good
",Positive,Examination
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,Positive,Examination
Everything is pretty well organised,Positive,Examination
good ,Positive,Examination
very good 5/5,Positive,Examination
for some subjects like maths and english(passage writing) the time duration neds to increase,Negative,Examination
"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated ",Neutral,Examination
every thing is fine.,Positive,Examination
Probably the best part of university is its examination and its pattern.,Positive,Examination
"I have never seen this type of examination,,,,,,,very GOOD  pattern",Positive,Examination
"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


",Negative,Examination
It is best,Positive,Examination
"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",Negative,Examination
excellent,Positive,Examination
time not sufficient,Negative,Examination
exam pattern is good ,Positive,Examination
excellent!!!,Positive,Examination
every thing is excllent but paper checking is not good,Neutral,Examination
We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,Negative,Examination
  exam pattern is very nice but paper checking is not at all good .,Neutral,Examination
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,Neutral,Examination
exam  pattern is very good but if you give question papers to students it is helpful ,Neutral,Examination
its better,Positive,Examination
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

",Positive,Examination
yeah its obviously good,Positive,Examination
exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,Positive,Examination
everything was good.,Positive,Examination
everything is good.,Positive,Examination
"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",Neutral,Examination
"Excellent exam pattern, paper checking in this university is easy

",Positive,Examination
I don't like the -ve marking system. appart from that everything is great,Neutral,Examination
"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",Negative,Examination
examination pattern was excellent,Positive,Examination
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",Positive,Examination
very hard papers and main concept papers,Neutral,Examination
Good ,Positive,Examination
 Not so good,Negative,Examination
strict paper correction.,Negative,Examination
super but paper checking is not good,Neutral,Examination
NICE TIMING..,Positive,Examination
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,Neutral,Examination
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD ,Positive,Examination
exam pattern is good and marks distribution is also good but paper checking is too hard,Neutral,Examination
all are good ,Positive,Examination
The examination pattern is good .But time is not sufficient for those questions.,Neutral,Examination
MCQ pattern is quite good and efficient way for evolving students.,Positive,Examination
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,Neutral,Examination
"not satisfactory, lab work must include latest technologies",Negative,Lab Work
Good ,Positive,Lab Work
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,Positive,Lab Work
Good,Positive,Lab Work
practical work provides detail knowledge of theoretical work,Positive,Lab Work
Yes,Positive,Lab Work
Everything is going fine in lab . learning new things. That is good for us,Positive,Lab Work
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,Negative,Lab Work
Not upto the mark,Negative,Lab Work
lab improves practical knowledge,Negative,Lab Work
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,Neutral,Lab Work
Practical work is fair,Positive,Lab Work
Practical and easy learning,Positive,Lab Work
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",Negative,Lab Work
Good.,Positive,Lab Work
well and good infrastructure and have trending software in lab    ,Positive,Lab Work
Average,Neutral,Lab Work
3 hours practical is so long. It should be of 2 hours only ,Negative,Lab Work
ok ok,Positive,Lab Work
practicle must be of 2 hours,Negative,Lab Work
"It's good 
Also depends on teacher's knowledge and student's interest",Positive,Lab Work
All good,Positive,Lab Work
Average ,Neutral,Lab Work
Too much lanlb file work,Negative,Lab Work
Evaluation method is gud.But the content is more to write in file,Neutral,Lab Work
excellent,Positive,Lab Work
Its good,Positive,Lab Work
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,Neutral,Lab Work
lab duration of 3 hours is very long . ,Negative,Lab Work
It's good,Positive,Lab Work
lab evaluations are pretty good .they help us a lot.,Positive,Lab Work
having good material in labs.,Positive,Lab Work
too much good,Positive,Lab Work
good,Positive,Lab Work
average,Neutral,Lab Work
it is difficult to understand experiment in 1 hour,Negative,Lab Work
lab work is also good,Positive,Lab Work
lab work is quite good,Positive,Lab Work
lab activities are good but not satisfactory in explaining point of view.,Neutral,Lab Work
helps in improving skills,Positive,Lab Work
lab work is nice.,Positive,Lab Work
practical work including evaluations are good so that students can learn about practicals.,Positive,Lab Work
laboratory provides us a good knowledge about practicals.,Positive,Lab Work
practical work insome labs are not upto the marks,Negative,Lab Work
labs are good but experiments are not very informative,Neutral,Lab Work
the labs are not practically built,Negative,Lab Work
practical work is good,Positive,Lab Work
super,Positive,Lab Work
This is the best in our university because there is no other university which takes seriously for practical work.,Positive,Lab Work
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",Negative,Lab Work
satisfactory,Positive,Lab Work
very poor.no equipments are there,Negative,Lab Work
poor,Negative,Lab Work
lab practicals and evaluations are below average and need lot of changes and improvements,Negative,Lab Work
lab practical work can further be improved so that it can meet industrial standards,Negative,Lab Work
excellent work,Positive,Lab Work
very good,Positive,Lab Work
its hard to find a computer working in lab. Students cannot save data in one single PC,Negative,Lab Work
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",Negative,Lab Work
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,Negative,Lab Work
satisfactory.,Positive,Lab Work
i hate it,Negative,Lab Work
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,Negative,Lab Work
as per the lab evaluation we r satisfied with  it,Positive,Lab Work
lab and practical work are litial good,Positive,Lab Work
not very good... must be improved.,Negative,Lab Work
bad,Negative,Lab Work
With the help of practicals students are able to understand all the concept.so it is also good.,Positive,Lab Work
GOOD,Positive,Lab Work
LAB IS VERY GOOD,Positive,Lab Work
not good...... must be improve,Negative,Lab Work
Lab evaluations are good.,Positive,Lab Work
it was good but it can be improved,Neutral,Lab Work
"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",Negative,Lab Work
good  but marks are not given properly ,Negative,Lab Work
Excellent,Positive,Lab Work
practicals are good but evaluations are not because they don't give enough time to work ,Neutral,Lab Work
They are conducted in proper way.,Positive,Lab Work
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,Neutral,Lab Work
excellent ...they  work hard..their way of teaching is also pretty good,Positive,Lab Work
average 3.5/5,Neutral,Lab Work
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",Neutral,Lab Work
ok,Positive,Lab Work
its fine.,Positive,Lab Work
More number of lab/practicals should be there to enhance practical knowledge.,Negative,Lab Work
Here we r able to do every thing by our own with u r valuable support ,Positive,Lab Work
pretty good,Positive,Lab Work
Very Good,Positive,Lab Work
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,Negative,Lab Work
it is good leaning in lab but the lab instruments are not properly working,Neutral,Lab Work
very bad,Positive,Lab Work
labs are very interesting it is helpful to know the knowledge,Positive,Lab Work
According to me students are doing lab only for marks .,Negative,Lab Work
lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,Positive,Lab Work
Lab or practical work is excellent and yes including evaluations also.,Positive,Lab Work
lab is very much helpful,Positive,Lab Work
in lab also they are showing parilaty,Negative,Lab Work
Lab evaluations are very strict,Negative,Lab Work
the lab evaluations are very strict ,Negative,Lab Work
labs n practicals are good.,Positive,Lab Work
practicals are pretty well.,Positive,Lab Work
There is good evaluations in lab regarding practicle ,Positive,Lab Work
Very good,Positive,Lab Work
Its Good,Positive,Lab Work
lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,Neutral,Lab Work
I like it soo much,Positive,Lab Work
Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,Positive,Lab Work
very strcitly they evaluted marks ,Negative,Lab Work
Good enough,Positive,Lab Work
